"filename", "language", "C#", "JavaScript", "Markdown", "CSS", "JSON", "XML", "Razor", "Properties", "comment", "blank", "total"
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\bin\Debug\net8.0\SoftWhatsAppCRMDash.staticwebassets.runtime.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\bin\Debug\net8.0\appsettings.Development.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\bin\Debug\net8.0\appsettings.json", "JSON", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\bin\Debug\net8.0\libman.json", "JSON", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 15
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\bin\Debug\net8.0\tailwind.extension.json", "JSON", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 21
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\bin\Release\net8.0\SoftWhatsAppCRMDash.deps.json", "JSON", 0, 0, 0, 0, 896, 0, 0, 0, 0, 0, 896
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\bin\Release\net8.0\SoftWhatsAppCRMDash.runtimeconfig.json", "JSON", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 21
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\bin\Release\net8.0\SoftWhatsAppCRMDash.staticwebassets.runtime.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\bin\Release\net8.0\appsettings.Development.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\bin\Release\net8.0\appsettings.json", "JSON", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\bin\Release\net8.0\libman.json", "JSON", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 15
